"REF_DATE","GEO","DGUID","Labour force characteristics","Population centre and rural areas","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-11","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17274.1","","","","1"
"2011-12","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17211.5","","","","1"
"2012-01","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","16938.2","","","","1"
"2012-02","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17000.1","","","","1"
"2012-03","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17083.3","","","","1"
"2012-04","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17299.8","","","","1"
"2012-05","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17630.8","","","","1"
"2012-06","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17791.3","","","","1"
"2012-07","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17764.7","","","","1"
"2012-08","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17782.4","","","","1"
"2012-09","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17622.9","","","","1"
"2012-10","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17625.0","","","","1"
"2012-11","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17598.3","","","","1"
"2012-12","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17571.1","","","","1"
"2013-01","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17317.8","","","","1"
"2013-02","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17419.0","","","","1"
"2013-03","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17356.2","","","","1"
"2013-04","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17495.0","","","","1"
"2013-05","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17911.0","","","","1"
"2013-06","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","18053.3","","","","1"
"2013-07","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17979.2","","","","1"
"2013-08","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17984.7","","","","1"
"2013-09","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17831.2","","","","1"
"2013-10","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17819.3","","","","1"
"2013-11","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17752.7","","","","1"
"2013-12","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17626.7","","","","1"
"2014-01","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17377.7","","","","1"
"2014-02","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17427.2","","","","1"
"2014-03","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17465.5","","","","1"
"2014-04","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17538.4","","","","1"
"2014-05","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17902.6","","","","1"
"2014-06","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","18129.9","","","","1"
"2014-07","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","18086.0","","","","1"
"2014-08","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","18028.0","","","","1"
"2014-09","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17898.1","","","","1"
"2014-10","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17917.8","","","","1"
"2014-11","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17842.4","","","","1"
"2014-12","Canada","2016A000011124","Employment","Total, all population centres and rural areas","Both sexes","15 years and over","Persons","249","thousands","3","v1234977815","1.3.1.1.1","17784.3","","","","1"
