OCC_source,OCC_target,transition_prob_BLS_ASECnorm_corr,transition_prob_BLS_ASECnorm_in_corr,OCC_TITLE_OCC,OCC_TITLE_OCCLY,EMPOCCLY_unadj_BLS,EMPOCC_unadj_BLS,TOT_EMP_OCC,A_MEAN_OCC,TOT_EMP_OCCLY
11-1010,11-1010,0.7739453646386539,0.771100937894195,Chief Executives,Chief Executives,10047521.654876351,10084584.817305785,195530,200140,195530
11-1010,11-1020,0.0008762950197255361,0.0010868388823314632,General and Operations Managers,Chief Executives,10047521.654876351,8101102.5,2289770,123880,195530
11-1010,11-1030,0.19921582469321042,0.771100937894195,Legislators,Chief Executives,10047521.654876351,2595801.942694215,50330,47620,195530
11-1010,11-2020,0.0013396307680730922,0.0016306922237179838,Marketing and Sales Managers,Chief Executives,10047521.654876351,8254144.44,619500,143000,195530
11-1010,11-3010,0.00044972240750212075,0.003453379750936751,Administrative Services Managers,Chief Executives,10047521.654876351,1308456.05,283570,106050,195530
11-1010,11-3020,0.0016151095285951093,0.003007242179619018,Computer and Information Systems Managers,Chief Executives,10047521.654876351,5396255.77,391430,152860,195530
11-1010,11-3030,0.0019466378093517794,0.0019634375594605445,Financial Managers,Chief Executives,10047521.654876351,9961552.1,608120,146830,195530
11-1010,11-3120,0.0007538289343622221,0.003434311523418409,Human Resources Managers,Chief Executives,10047521.654876351,2205423.85,143580,126700,195530
11-1010,11-9010,0.00041156186733842093,0.0005720692137475042,"Farmers, Ranchers, and Other Agricultural Managers",Chief Executives,10047521.654876351,7228455.36,4770,79940,195530
11-1010,11-9020,0.000251845578771331,0.00037221356964940624,Construction Managers,Chief Executives,10047521.654876351,6798311.81,278460,103110,195530
11-1010,11-9030,6.912671923172268e-05,9.05631120398498e-05,Education Administrators,Chief Executives,10047521.654876351,7669261.72,498200,97030,195530
11-1010,11-9110,0.00010463354127639975,0.00020738673169561823,Medical and Health Services Managers,Chief Executives,10047521.654876351,5069310.67,372670,113730,195530
11-1010,11-9130,9.793033723628426e-05,0.0010131931002264464,Postmasters and Mail Superintendents,Chief Executives,10047521.654876351,971144.7737168736,13770,77040,195530
11-1010,11-9140,1.585483090713389e-05,2.8691410763447402e-05,"Property, Real Estate, and Community Association Managers",Chief Executives,10047521.654876351,5552245.52,202550,71730,195530
11-1010,11-9150,0.00092589120787232,0.002850735618299306,Social and Community Service Managers,Chief Executives,10047521.654876351,3263337.33,149870,71670,195530
11-1010,11-9190,0.0032916541239246112,0.0010131931002264462,Miscellaneous Managers,Chief Executives,10047521.654876351,32642312.786283128,462840,115590,195530
11-1010,13-1050,0.0003897505863768001,0.00376214757001235,Cost Estimators,Chief Executives,10047521.654876351,1040902.14,211600,69710,195530
11-1010,13-1110,0.002747531900663584,0.003946021162610536,Management Analysts,Chief Executives,10047521.654876351,6995878.92,684470,94390,195530
11-1010,13-1130,0.0005930538576598032,0.009244199299956657,Fundraisers,Chief Executives,10047521.654876351,644590.33,75700,61610,195530
11-1010,13-1160,0.00045327419388888497,0.0020491774530170676,Market Research Analysts and Marketing Specialists,Chief Executives,10047521.654876351,2222492.87,638200,70960,195530
11-1010,13-2010,0.0007391285873894391,0.0004964769554913883,Accountants and Auditors,Chief Executives,10047521.654876351,14958217.91,1259930,78820,195530
11-1010,13-2052,0.000796800028730586,0.0021183840138830788,Personal Financial Advisors,Chief Executives,10047521.654876351,3779232.42,200260,121770,195530
11-1010,13-2070,0.00016628371949225352,0.0006069536538954656,Credit Counselors and Loan Officers,Chief Executives,10047521.654876351,2752663.67,340690,73490,195530
11-1010,15-1120,0.00015815816465994306,0.00030793181936882263,Computer and Information Analysts,Chief Executives,10047521.654876351,5160550.109999999,696030,94990,195530
11-1010,15-1132,0.0003218680421398695,0.0004183463947191343,"Software Developers, Applications",Chief Executives,10047521.654876351,7733596.5582737345,903160,108080,195530
11-1010,15-1133,0.0001444514521464118,0.0004183463947191344,"Software Developers, Systems Software",Chief Executives,10047521.654876351,3470767.851726264,405330,114000,195530
11-1010,15-1150,0.00019199521769861465,0.00043386630820891904,Computer Support Specialists,Chief Executives,10047521.654876351,4446245.47,812060,57950,195530
11-1010,17-2050,0.0005640825679406157,0.0017766503705212127,Civil Engineers,Chief Executives,10047521.654876351,3190065.93,306030,93720,195530
11-1010,17-2070,2.7479416749824726e-05,0.00010433921490651127,Electrical and Electronics Engineers,Chief Executives,10047521.654876351,2646177.04,320610,104250,195530
11-1010,17-2199,6.457503443210441e-05,0.00017351056932228258,"Engineers, All Other",Chief Executives,10047521.654876351,3739363.31,142030,99410,195530
11-1010,19-2090,1.4434116352428248e-05,7.807805537034619e-05,Miscellaneous Physical Scientists,Chief Executives,10047521.654876351,1857462.97,17380,110090,195530
11-1010,23-1011,0.00026457607648761635,0.00032010417616434384,Lawyers,Chief Executives,10047521.654876351,8304589.742392923,642750,144230,195530
11-1010,23-1020,2.0186403408716774e-05,0.0003201041761643439,"Judges, Magistrates, and Other Judicial Workers",Chief Executives,10047521.654876351,633616.6176070772,49040,109170,195530
11-1010,25-1000,0.0007347106313346073,0.0006155127994074036,Postsecondary Teachers,Chief Executives,10047521.654876351,11993285.9,1517100,85190,195530
11-1010,25-3000,0.0004746891960930188,0.0006609759833122779,Other Teachers and Instructors,Chief Executives,10047521.654876351,7215768.95,1203570,40250,195530
11-1010,25-9010,7.617222559060407e-06,0.001500634258977035,Audio-Visual and Multimedia Collections Specialists,Chief Executives,10047521.654876351,51001.24041173402,9540,52270,195530
11-1010,25-9020,6.403577036023529e-06,0.0015006342589770347,Farm and Home Management Advisors,Chief Executives,10047521.654876351,42875.25661447662,8020,52700,195530
11-1010,25-9030,0.0001308661192274635,0.0015006342589770354,Instructional Coordinators,Chief Executives,10047521.654876351,876216.2791911126,163900,67490,195530
11-1010,25-9040,7.270058926441486e-05,8.936795963697508e-05,Teacher Assistants,Chief Executives,10047521.654876351,8173631.22,1331560,28750,195530
11-1010,25-9090,8.510689230296116e-05,0.0015006342589770352,"Miscellaneous Education, Training, and Library Workers",Chief Executives,10047521.654876351,569834.6137826765,106590,46680,195530
11-1010,27-3043,0.0001079215507812453,0.0005938166137818632,Writers and Authors,Chief Executives,10047521.654876351,1826058.91,45210,73090,195530
11-1010,33-9030,0.00036512118682091425,0.0004903422705923533,Security Guards and Gaming Surveillance Officers,Chief Executives,10047521.654876351,7481637.32,1124610,32090,195530
11-1010,39-1010,3.573256598083066e-05,0.0002956692639838028,First-Line Supervisors of Gaming Workers,Chief Executives,10047521.654876351,1214274.78,30330,50250,195530
11-1010,41-1010,0.0013806167880463659,0.0003871739605484331,First-Line Supervisors of Sales Workers,Chief Executives,10047521.654876351,35828280.02,1429100,51930,195530
11-1010,41-2010,5.411597434672822e-05,2.3827925275725854e-05,Cashiers,Chief Executives,10047521.654876351,22819083.82,3657570,23270,195530
11-1010,41-2030,0.0005237271587455098,0.0002180421211449059,Retail Salespersons,Chief Executives,10047521.654876351,24133685.46,4448120,28310,195530
11-1010,41-4010,0.00044312675858493804,0.0004311527010754933,"Sales Representatives, Wholesale and Manufacturing",Chief Executives,10047521.654876351,10326563.4,1663160,73680,195530
11-1010,43-3010,0.00038567492683385345,0.0029380499813731315,Bill and Account Collectors,Chief Executives,10047521.654876351,1318928.27,251330,38220,195530
11-1010,43-3030,0.0004091203975941513,0.0004220642809572527,"Bookkeeping, Accounting, and Auditing Clerks",Chief Executives,10047521.654876351,9739383.88,1530430,42110,195530
11-1010,43-4050,0.00017803958034129453,0.00010455663923814176,Customer Service Representatives,Chief Executives,10047521.654876351,17108971.29,2871400,36470,195530
11-1010,43-5052,0.00010112960278914645,0.00037270877199636757,Postal Service Mail Carriers,Chief Executives,10047521.654876351,2726262.3,342410,51780,195530
11-1010,43-5060,0.00019167377796343947,0.0009153484137869857,"Production, Planning, and Expediting Clerks",Chief Executives,10047521.654876351,2103949.06,350150,50020,195530
11-1010,43-9060,0.00022231606355785065,0.00024064976722152842,"Office Clerks, General",Chief Executives,10047521.654876351,9282059.52,2972930,35200,195530
11-1010,49-9041,0.00029697228667560454,0.0008896402332996196,Industrial Machinery Mechanics,Chief Executives,10047521.654876351,3353979.923102652,362440,54000,195530
11-1010,49-9045,9.176938557462582e-07,0.0008896402332996198,"Refractory Materials Repairers, Except Brickmasons",Chief Executives,10047521.654876351,10364.356897348343,1120,52510,195530
11-1010,51-1010,0.0001850094243700361,0.0002967474248024719,First-Line Supervisors of Production and Operating Workers,Chief Executives,10047521.654876351,6264203.3,622790,64340,195530
11-1010,51-8010,3.9523591865148825e-05,0.0011729754116767467,"Power Plant Operators, Distributors, and Dispatchers",Chief Executives,10047521.654876351,338552.83,51820,81760,195530
11-1010,53-3020,0.00041356043729491105,0.0008649538273936338,Bus Drivers,Chief Executives,10047521.654876351,4804022.27,678260,36280,195530
11-1010,53-3030,4.585301016197648e-05,1.7501025164618142e-05,Driver/Sales Workers and Truck Drivers,Chief Executives,10047521.654876351,26324692.88,3130500,40920,195530
11-1010,53-3040,0.0001392116233228798,0.0003466496442720254,Taxi Drivers and Chauffeurs,Chief Executives,10047521.654876351,4035001.4,207920,28450,195530
11-1020,11-1010,0.002936671730484072,0.0023654112108485877,Chief Executives,General and Operations Managers,8122865.67,10084584.817305785,195530,200140,2289770
11-1020,11-1020,0.9459844193754838,0.9485257549203951,General and Operations Managers,General and Operations Managers,8122865.67,8101102.5,2289770,123880,2289770
11-1020,11-1030,0.0007559079844282887,0.002365411210848588,Legislators,General and Operations Managers,8122865.67,2595801.942694215,50330,47620,2289770
11-1020,11-2020,0.0025487703282430375,0.0025082331852191333,Marketing and Sales Managers,General and Operations Managers,8122865.67,8254144.44,619500,143000,2289770
11-1020,11-3030,0.002033933979853689,0.0016585138876099436,Financial Managers,General and Operations Managers,8122865.67,9961552.1,608120,146830,2289770
11-1020,11-9010,5.711986617156504e-05,6.418757215649457e-05,"Farmers, Ranchers, and Other Agricultural Managers",General and Operations Managers,8122865.67,7228455.36,4770,79940,2289770
11-1020,11-9020,0.0003498691983170516,0.000418036209492427,Construction Managers,General and Operations Managers,8122865.67,6798311.81,278460,103110,2289770
11-1020,11-9030,0.0011891289838355781,0.0012594608650283489,Education Administrators,General and Operations Managers,8122865.67,7669261.72,498200,97030,2289770
11-1020,11-9130,0.00010140282117898263,0.0008481552053700719,Postmasters and Mail Superintendents,General and Operations Managers,8122865.67,971144.7737168736,13770,77040,2289770
11-1020,11-9140,0.0012841379414316966,0.001878677728214007,"Property, Real Estate, and Community Association Managers",General and Operations Managers,8122865.67,5552245.52,202550,71730,2289770
11-1020,11-9190,0.0034083719502164423,0.0008481552053700716,Miscellaneous Managers,General and Operations Managers,8122865.67,32642312.786283128,462840,115590,2289770
11-1020,13-1110,0.0011974525241656494,0.0013903536798204048,Management Analysts,General and Operations Managers,8122865.67,6995878.92,684470,94390,2289770
11-1020,15-1150,0.00042373537121413463,0.0007741240386352309,Computer Support Specialists,General and Operations Managers,8122865.67,4446245.47,812060,57950,2289770
11-1020,33-9030,0.0003933206739832742,0.0004270309911253489,Security Guards and Gaming Surveillance Officers,General and Operations Managers,8122865.67,7481637.32,1124610,32090,2289770
11-1020,39-1010,0.0002129410444873207,0.0014244646504146285,First-Line Supervisors of Gaming Workers,General and Operations Managers,8122865.67,1214274.78,30330,50250,2289770
11-1020,41-1010,0.00451235684413331,0.0010230261815398192,First-Line Supervisors of Sales Workers,General and Operations Managers,8122865.67,35828280.02,1429100,51930,2289770
11-1020,41-2010,0.0008027178787507883,0.00028574194965203474,Cashiers,General and Operations Managers,8122865.67,22819083.82,3657570,23270,2289770
11-1020,41-2030,0.0014334712616268096,0.00048247477656485543,Retail Salespersons,General and Operations Managers,8122865.67,24133685.46,4448120,28310,2289770
