OCC_source,OCC_target,out_degree,trans_prob_cc,trans_prob_cc_in
11-1010,11-1020,19,0.003376315789473684,0.003901763100603517
11-1010,11-9150,19,0.003376315789473684,0.00430535586604332
11-1010,11-3030,19,0.003376315789473684,0.003625031168031906
11-1010,11-3120,19,0.003376315789473684,0.003829912670748584
11-1010,19-2040,19,0.003376315789473684,0.004013859412140396
11-1010,19-3050,19,0.003376315789473684,0.003376315789473684
11-1010,11-9030,19,0.003376315789473684,0.0049424188973221485
11-1010,11-9190,19,0.003376315789473684,0.004158834734174855
11-1010,11-1030,19,0.003376315789473684,0.004626803118908382
11-1010,13-1190,19,0.003376315789473684,0.004254854649736996
11-1010,13-1110,19,0.003376315789473684,0.004271442187628334
11-1010,43-1010,19,0.003376315789473684,0.004079653803568041
11-1010,17-2080,19,0.003376315789473684,0.0036771135011110768
11-1010,19-1030,19,0.003376315789473684,0.003993020019523778
11-1010,43-6010,19,0.003376315789473684,0.003996869222651773
11-1010,13-1070,19,0.003376315789473684,0.0037947327941880962
11-1010,19-3010,19,0.003376315789473684,0.0041864808505639095
11-1010,11-9120,19,0.003376315789473684,0.004096890765874395
11-1010,41-1010,19,0.003376315789473684,0.004139690789819865
11-1020,11-1010,14,0.004582142857142857,0.003999322592347167
11-1020,41-1010,14,0.004582142857142857,0.004139690789819865
11-1020,11-3070,14,0.004582142857142857,0.0037581100236697387
11-1020,11-3050,14,0.004582142857142857,0.004082250208263475
11-1020,11-9190,14,0.004582142857142857,0.004158834734174855
11-1020,13-1190,14,0.004582142857142857,0.004254854649736996
11-1020,11-9020,14,0.004582142857142857,0.0036702520512253483
11-1020,11-2020,14,0.004582142857142857,0.0039163433607175184
11-1020,43-1010,14,0.004582142857142857,0.004079653803568041
11-1020,49-1010,14,0.004582142857142857,0.004213727996956874
11-1020,51-1010,14,0.004582142857142857,0.0042510493862003155
11-1020,37-1011,14,0.004582142857142857,0.0043987976478930425
11-1020,47-1010,14,0.004582142857142857,0.004006746727979623
11-1020,13-1110,14,0.004582142857142857,0.004271442187628334
11-1030,11-1010,19,0.003376315789473684,0.003999322592347167
11-1030,19-3090,19,0.003376315789473684,0.004010649348111
11-1030,23-1012,19,0.003376315789473684,0.003718720433897243
11-1030,11-3030,19,0.003376315789473684,0.003625031168031906
11-1030,27-3030,19,0.003376315789473684,0.004080181912614067
11-1030,23-1011,19,0.003376315789473684,0.003615162304800463
11-1030,13-1070,19,0.003376315789473684,0.0037947327941880962
11-1030,13-1040,19,0.003376315789473684,0.003816126059653174
11-1030,43-6010,19,0.003376315789473684,0.003996869222651773
11-1030,11-9030,19,0.003376315789473684,0.0049424188973221485
11-1030,11-9150,19,0.003376315789473684,0.00430535586604332
11-1030,23-1020,19,0.003376315789473684,0.003713545426065163
11-1030,21-1090,19,0.003376315789473684,0.004647638128010092
11-1030,21-2020,19,0.003376315789473684,0.004402115865593736
11-1030,29-2050,19,0.003376315789473684,0.005196635630792111
11-1030,29-2090,19,0.003376315789473684,0.005135343503377621
11-1030,25-1000,19,0.003376315789473684,0.004949767642296939
11-1030,11-1020,19,0.003376315789473684,0.003901763100603517
11-1030,43-4030,19,0.003376315789473684,0.0038168080713146496
11-2010,41-3010,14,0.004582142857142857,0.003960205552981426
11-2010,11-2020,14,0.004582142857142857,0.0039163433607175184
11-2010,13-1160,14,0.004582142857142857,0.003975940883151506
11-2010,27-3030,14,0.004582142857142857,0.004080181912614067
11-2010,13-1190,14,0.004582142857142857,0.004254854649736996
11-2010,13-1130,14,0.004582142857142857,0.004316613553113554
11-2010,27-3043,14,0.004582142857142857,0.004391821121617174
11-2010,15-2090,14,0.004582142857142857,0.004262290737835435
11-2010,13-1010,14,0.004582142857142857,0.004316948505076794
11-2010,13-1110,14,0.004582142857142857,0.004271442187628334
11-2010,27-1020,14,0.004582142857142857,0.004273536604533569
11-2010,11-3060,14,0.004582142857142857,0.0038717496544276725
11-2010,41-9040,14,0.004582142857142857,0.0039146847367602005
11-2010,27-1010,14,0.004582142857142857,0.004137759042492596
11-2020,13-1160,19,0.003376315789473684,0.003975940883151506
11-2020,11-2010,19,0.003376315789473684,0.004042803205931495
11-2020,11-3060,19,0.003376315789473684,0.0038717496544276725
11-2020,41-3010,19,0.003376315789473684,0.003960205552981426
11-2020,15-2090,19,0.003376315789473684,0.004262290737835435
11-2020,27-3030,19,0.003376315789473684,0.004080181912614067
11-2020,41-1010,19,0.003376315789473684,0.004139690789819865
11-2020,13-1190,19,0.003376315789473684,0.004254854649736996
11-2020,11-1020,19,0.003376315789473684,0.003901763100603517
11-2020,13-1110,19,0.003376315789473684,0.004271442187628334
11-2020,13-1020,19,0.003376315789473684,0.003955151587725325
11-2020,13-2051,19,0.003376315789473684,0.003683149301630984
11-2020,41-3030,19,0.003376315789473684,0.0035969726853899452
11-2020,13-1080,19,0.003376315789473684,0.00423387753053846
11-2020,43-4050,19,0.003376315789473684,0.0037184379052652796
11-2020,43-4010,19,0.003376315789473684,0.003628422556659725
11-2020,11-9190,19,0.003376315789473684,0.004158834734174855
11-2020,25-1000,19,0.003376315789473684,0.004949767642296939
11-2020,41-4010,19,0.003376315789473684,0.003921371876924144
11-2030,13-1130,20,0.0032075000000000003,0.004316613553113554
11-2030,27-3030,20,0.0032075000000000003,0.004080181912614067
11-2030,11-2010,20,0.0032075000000000003,0.004042803205931495
11-2030,11-9150,20,0.0032075000000000003,0.00430535586604332
11-2030,13-1160,20,0.0032075000000000003,0.003975940883151506
11-2030,11-2020,20,0.0032075000000000003,0.0039163433607175184
11-2030,13-1110,20,0.0032075000000000003,0.004271442187628334
11-2030,11-1020,20,0.0032075000000000003,0.003901763100603517
11-2030,11-3120,20,0.0032075000000000003,0.003829912670748584
11-2030,11-3030,20,0.0032075000000000003,0.003625031168031906
11-2030,11-1010,20,0.0032075000000000003,0.003999322592347167
11-2030,13-2052,20,0.0032075000000000003,0.0036943231239864372
11-2030,25-1000,20,0.0032075000000000003,0.004949767642296939
11-2030,15-2090,20,0.0032075000000000003,0.004262290737835435
11-2030,13-1070,20,0.0032075000000000003,0.0037947327941880962
11-2030,11-9030,20,0.0032075000000000003,0.0049424188973221485
11-2030,13-2051,20,0.0032075000000000003,0.003683149301630984
11-2030,43-6010,20,0.0032075000000000003,0.003996869222651773
11-2030,19-3090,20,0.0032075000000000003,0.004010649348111
11-2030,13-1120,20,0.0032075000000000003,0.0038192578823252198
11-3010,43-1010,20,0.0032075000000000003,0.004079653803568041
11-3010,11-1020,20,0.0032075000000000003,0.003901763100603517
11-3010,33-1090,20,0.0032075000000000003,0.00403324227931547
11-3010,49-9070,20,0.0032075000000000003,0.0036517726322118733
11-3010,11-9140,20,0.0032075000000000003,0.0035916800503095975
11-3010,11-9190,20,0.0032075000000000003,0.004158834734174855
11-3010,13-1190,20,0.0032075000000000003,0.004254854649736996
11-3010,11-9160,20,0.0032075000000000003,0.003918402046783625
11-3010,11-9020,20,0.0032075000000000003,0.0036702520512253483
11-3010,11-3070,20,0.0032075000000000003,0.0037581100236697387
11-3010,43-6010,20,0.0032075000000000003,0.003996869222651773
11-3010,41-1010,20,0.0032075000000000003,0.004139690789819865
11-3010,49-1010,20,0.0032075000000000003,0.004213727996956874
11-3010,13-1070,20,0.0032075000000000003,0.0037947327941880962
11-3010,47-4010,20,0.0032075000000000003,0.003590603845472266
11-3010,17-2110,20,0.0032075000000000003,0.004419238682021347
11-3010,11-3120,20,0.0032075000000000003,0.003829912670748584
